
2025/02/21 (13:57:12) | ===> btop++ v.1.4.0
2025/02/21 (13:57:12) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/21 (14:05:06) | INFO: Logger set to INFO
2025/02/21 (14:05:07) | INFO: Logger set to DEBUG
2025/02/21 (14:05:07) | INFO: Logger set to INFO

2025/02/21 (14:29:40) | ===> btop++ v.1.4.0
2025/02/21 (14:29:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/21 (14:32:45) | ===> btop++ v.1.4.0
2025/02/21 (14:32:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (13:13:44) | ===> btop++ v.1.4.0
2025/02/25 (13:13:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (10:25:02) | ===> btop++ v.1.4.0
2025/02/26 (10:25:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (12:07:51) | ===> btop++ v.1.4.0
2025/03/04 (12:07:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (23:12:04) | ===> btop++ v.1.4.0
2025/03/04 (23:12:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (23:22:09) | ===> btop++ v.1.4.0
2025/03/04 (23:22:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (23:24:00) | ===> btop++ v.1.4.0
2025/03/04 (23:24:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (23:31:03) | ===> btop++ v.1.4.0
2025/03/04 (23:31:03) | WARNING: Intel GPU: Failed to initialize PMU
